,FEN,Name,ECO,UCI,SAN,White_Win,Draw,Black_Win,Common1,Common2,Common3
66,r1bqk1nr/pppp1ppp/2n5/2b1p3/2B1P3/2P2N2/P2P1PPP/RNBQK2R w KQkq - 1 6,"Italian Game: Evans Gambit, McDonnell Defense",C51,b4c5,Bc5,23699,1350,15033,"['d2d4', 'd4']","['e1h1', 'O-O']","['d1b3', 'Qb3']"
67,rnbqkbnr/pppp1ppp/4p3/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq - 0 2,French Defense: Horwitz Attack,C00,b2b3,b3,10714,1125,10805,"['d7d5', 'd5']","['d8f6', 'Qf6']","['g8f6', 'Nf6']"
68,rnbqkb1r/pppppppp/5n2/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Alekhine Defense,B02,g8f6,Nf6,442270,39350,346521,"['b1c3', 'Nc3']","['e4e5', 'e5']","['d2d3', 'd3']"
69,rnbqkb1r/pppppppp/5n2/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 2 2,Zukertort Opening: Lemberger Gambit,A05,g1f3,Nf3,19228,2005,22205,"['f6e4', 'Nxe4']","['e7e5', 'e5']","['d7d5', 'd5']"
70,r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,Mikenas Defense,A40,b8c6,Nc6,182669,14606,119097,"['g1f3', 'Nf3']","['d4d5', 'd5']","['e2e3', 'e3']"
71,r1bqkb1r/pppp1ppp/2n2n2/4p3/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq - 0 4,"Italian Game: Two Knights Defense, Open Variation",C56,d2d4,d4,52980,3950,40470,"['e5d4', 'exd4']","['f6e4', 'Nxe4']","['d7d6', 'd6']"
72,rn1qkbnr/ppp1pppp/8/3p1b2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,Queen's Gambit Declined: Baltic Defense,D06,c8f5,Bf5,30473,2289,21046,"['b1c3', 'Nc3']","['c4d5', 'cxd5']","['g1f3', 'Nf3']"
73,r1bqkbnr/pp1ppppp/2n5/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,Sicilian Defense: Old Sicilian,B30,b8c6,Nc6,607982,66471,602321,"['d2d4', 'd4']","['f1c4', 'Bc4']","['f1b5', 'Bb5']"
74,r1bqkbnr/pp1ppppp/2n5/1Bp5/4P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,B30,f1b5,Bb5,89940,9733,80770,"['a7a6', 'a6']","['g7g6', 'g6']","['e7e6', 'e6']"
75,r1bqkbnr/pppnpppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 1 3,Rat Defense: Antal Defense,B00,b8d7,Nd7,14893,1287,12609,"['g1f3', 'Nf3']","['b1c3', 'Nc3']","['c2c4', 'c4']"
76,rnbqkbnr/pp1ppp1p/6p1/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Sicilian Defense: Hyperaccelerated Dragon,B27,g7g6,g6,74009,8898,81973,"['d2d4', 'd4']","['f1c4', 'Bc4']","['c2c3', 'c3']"
77,rnbqkbnr/pp1ppppp/8/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR b KQkq - 0 2,Sicilian Defense: Alapin Variation,B22,c2c3,c3,158550,18752,156428,"['b8c6', 'Nc6']","['d7d6', 'd6']","['d7d5', 'd5']"
78,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 1 2,Nimzowitsch Defense,B00,b8c6,Nc6,443057,35197,351352,"['g1f3', 'Nf3']","['d2d4', 'd4']","['f1c4', 'Bc4']"
79,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Nimzowitsch Defense: Kennedy Variation,B00,e7e5,e5,156678,11313,115167,"['d4d5', 'd5']","['g1f3', 'Nf3']","['d4e5', 'dxe5']"
80,r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR b KQkq - 0 3,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation",B00,d4d5,d5,93673,5747,57800,"['c6d4', 'Nd4']","['c6e7', 'Nce7']","['c6b4', 'Nb4']"
81,rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,Center Game Accepted,C21,e5d4,exd4,319872,28536,358154,"['d1d4', 'Qxd4']","['c2c3', 'c3']","['g1f3', 'Nf3']"
82,r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,Center Game: Normal Variation,C22,b8c6,Nc6,128057,13332,190779,"['d4d1', 'Qd1']","['d4e3', 'Qe3']","['d4a4', 'Qa4']"
83,r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b KQkq - 2 4,Center Game: Paulsen Attack Variation,C22,d4e3,Qe3,43027,3969,49654,"['g8f6', 'Nf6']","['d7d6', 'd6']","['b7b6', 'b6']"
84,r1bqkb1r/pppp1ppp/2n2n2/8/4P3/4Q3/PPP2PPP/RNB1KBNR w KQkq - 3 5,Center Game: Berger Variation,C22,g8f6,Nf6,14459,1330,17471,"['b1c3', 'Nc3']","['e4e5', 'e5']","['f2f3', 'f3']"
85,rnbqkbnr/ppp1pppp/8/3p4/8/1P6/P1PPPPPP/RNBQKBNR w KQkq - 0 2,Nimzo-Larsen Attack: Classical Variation,A01,d7d5,d5,49443,5191,49343,"['c1b2', 'Bb2']","['e2e3', 'e3']","['d2d4', 'd4']"
86,rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Philidor Defense,C41,d7d6,d6,1273314,107065,968261,"['f1c4', 'Bc4']","['d2d4', 'd4']","['b1c3', 'Nc3']"
87,rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Queen's Gambit Declined,D30,e7e6,e6,459918,52033,373718,"['b1c3', 'Nc3']","['g1f3', 'Nf3']","['c4d5', 'cxd5']"
88,rnbqkbnr/pp1p1ppp/4p3/2p5/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,Sicilian Defense: French Variation,B40,e7e6,e6,223701,27399,248822,"['d2d4', 'd4']","['b1c3', 'Nc3']","['f1c4', 'Bc4']"
89,rnbqkbnr/pp1ppppp/8/2p5/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,Sicilian Defense: Smith-Morra Gambit,B21,d2d4,d4,274283,27104,313209,"['c5d4', 'cxd4']","['e7e6', 'e6']","['d7d6', 'd6']"
90,rnbqkbnr/pp1ppppp/8/8/4P3/2p5/PP3PPP/RNBQKBNR w KQkq - 0 4,Sicilian Defense: Smith-Morra Gambit Accepted,B21,d4c3,dxc3,61711,5957,53109,"['b1c3', 'Nxc3']","['f1c4', 'Bc4']","['g1f3', 'Nf3']"
91,rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,Zukertort Opening,A04,g1f3,Nf3,987392,105757,892921,"['d7d5', 'd5']","['g8f6', 'Nf6']","['b8c6', 'Nc6']"
